,Country names,index,DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
0,Andorra,7,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,AD,2022,79535,
1,Albania,19,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,AL,2022,2793592,
2,Austria,42,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,AT,2022,8978929,
3,Azerbaijan,54,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,AZ,2022,10156366,
4,Belgium,75,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,BE,2022,11631136,p
5,Bulgaria,87,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,BG,2022,6838937,
6,Switzerland,109,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,CH,2022,8736510,p
7,Cyprus,121,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,CY,2022,904705,p
8,Czechia,133,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,CZ,2022,10516707,
9,Germany,145,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,DE,2022,83237124,
10,Denmark,157,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,DK,2022,5873420,
11,EA18,169,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,EA18,2022,340080986,bep
12,EA19,181,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,EA19,2022,342886984,bep
13,Estonia,193,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,EE,2022,1331796,
14,EL,205,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,EL,2022,10603810,e
15,Spain,217,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,ES,2022,47432805,p
16,EU27_2020,229,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,EU27_2020,2022,446828803,bep
17,Finland,250,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,FI,2022,5548241,
18,France,262,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,FR,2022,67842582,p
19,Georgia,276,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,GE,2022,3688647,
20,Croatia,288,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,HR,2022,3879074,bp
21,Hungary,300,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,HU,2022,9689010,
22,Ireland,312,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,IE,2022,5060005,
23,Iceland,324,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,IS,2022,376248,
24,Italy,336,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,IT,2022,58983122,p
25,Liechtenstein,348,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,LI,2022,39308,p
26,Lithuania,360,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,LT,2022,2805998,
27,Luxembourg,372,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,LU,2022,645397,
28,Latvia,384,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,LV,2022,1875757,
29,Montenegro,411,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,ME,2022,617683,
30,North Macedonia,423,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,MK,2022,1836713,b
31,Malta,435,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,MT,2022,520971,
32,Netherlands,447,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,NL,2022,17590672,
33,Norway,459,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,NO,2022,5425270,
34,Poland,471,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,PL,2022,37654247,
35,Portugal,483,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,PT,2022,10352042,bp
36,Romania,495,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,RO,2022,19038098,e
37,Serbia,507,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,RS,2022,6797105,
38,Sweden,522,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,SE,2022,10452326,
39,Slovenia,534,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,SI,2022,2107180,
40,Slovakia,546,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,SK,2022,5434712,
41,San Marino,558,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,SM,2022,33698,
42,Turkey,570,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,TR,2022,84680273,
43,Ukraine,582,ESTAT:TPS00001(1.0),01/12/22 23:00:00,A,JAN,UA,2022,40997698,e
